Gender,Married,Dependents,Education,Self_Employed,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Total_Income,Target
0,1,0,0,0,120,360,1,0,4941,1
0,1,2,1,0,155,360,1,2,5185,1
0,1,0,1,0,228,360,1,2,9083,1
0,1,0,1,0,118,360,1,0,4301,1
1,1,2,1,0,70,360,1,0,14866,1
1,0,0,1,0,84,360,1,2,2917,1
0,1,0,1,0,115,342.6871329,1,0,6100,1
1,0,0,1,0,100,360,1,2,3159,1
0,1,1,1,0,330,360,1,0,10333,1
1,0,0,1,0,151,480,1,1,7541,0
0,0,0,1,0,71,480,1,0,3069,0
0,0,0,0,0,48,360,1,1,4885,1
0,1,2,1,0,100,360,1,0,4566,0
0,1,0,1,0,136,360,0,2,5297,0
0,0,0,1,0,187,360,1,1,12083,1
0,1,2,1,0,185,360,1,1,7125,0
1,1,2,1,0,167,360,1,0,3259,0
0,1,2,1,0,208,360,1,2,10489,1
1,0,0,1,0,156,360,1,0,6000,1
0,1,1,1,0,50,240,1,0,3988,1
0,1,1,1,1,182,180,1,0,11666,1
0,1,2,1,0,108,84,1,0,3620,1
0,0,0,0,0,102,480,0,0,3784,0
0,1,0,1,0,131,360,1,2,5300,1
0,1,2,0,0,60,300,1,0,3414,1
0,1,3,1,1,187,360,1,2,7040,1
0,1,3,1,0,158,360,0,2,5540,0
0,0,0,1,0,103,360,1,2,22500,1
0,1,0,1,0,150,360,1,2,4843,1
1,1,0,0,0,124,360,1,1,4100,1
0,0,0,1,0,50,360,1,0,3254,1
0,1,0,1,0,104,360,1,0,3819,1
0,0,0,1,0,164,360,1,2,12000,0
0,1,1,0,0,144.2566268,360,1,1,4867,1
0,0,3,1,1,292,360,1,2,9357,1
0,1,1,1,0,26,360,1,2,6500,1
1,1,0,0,0,100,360,1,2,3572,1
0,0,0,1,0,184,360,1,0,11376,1
0,0,0,1,0,59,360,1,0,2479,1
0,1,2,1,1,267,360,1,0,9613,1
0,0,0,1,0,113,480,1,0,3750,0
0,1,1,1,0,123,480,1,2,4725,1
0,1,0,1,0,144,360,1,0,5821,1
1,0,0,1,0,132,360,1,1,5000,1
0,1,0,1,0,172,360,1,0,6274,1
0,1,0,1,1,180,360,1,1,9963,1
0,1,2,1,1,205,240,1,2,6000,0
0,1,0,1,0,170,360,1,1,3250,0
1,0,0,1,1,99,300,1,2,4317,0
0,1,2,1,0,109,360,1,0,4340,1
0,1,3,1,1,100,360,1,1,7101,1
0,0,0,1,0,118,360,0,1,6277,0
0,1,0,1,0,95,360,1,0,4492,1
0,1,1,1,0,185,180,1,1,14583,1
0,1,0,1,0,112,360,1,2,4727,1
0,1,1,0,0,279,180,1,2,9762,1
0,1,1,1,0,170,360,1,2,5708,0
0,1,1,1,0,186,360,1,0,5167,1
0,1,0,1,0,258,360,1,2,10321,0
0,0,0,1,0,100,360,1,0,3750,1
1,0,0,0,0,53,360,1,2,1963,1
1,1,2,1,0,127,360,1,2,6666,1
0,1,0,1,0,130,360,1,0,7083,1
1,0,0,1,0,136,360,0,2,4300,0
0,0,0,1,0,122,360,1,2,4133,1
0,1,3,0,1,125,60,1,0,7100,1
0,1,1,1,0,315,360,1,0,11580,1
0,1,1,1,1,110,360,1,0,4022,0
0,0,0,1,0,110,360,1,0,5968,1
0,0,2,1,0,136,360,1,1,4354,1
0,1,0,1,0,255,360,1,0,5746,0
0,1,0,1,0,173,360,1,0,6277,0
0,1,0,1,0,159,360,1,1,4316,0
1,0,0,1,0,93,360,1,1,3692,1
0,1,0,1,0,158,480,1,2,4758,1
1,0,0,1,0,60,360,1,0,2995,1
0,1,0,1,0,75,360,1,0,2400,1
0,0,0,1,0,141,360,1,0,6000,1
0,1,0,1,0,160,360,1,2,8334,0
1,0,0,1,0,116,360,0,2,4166,0
0,1,2,1,1,160,360,1,2,6666,1
0,1,3,0,0,94,480,1,2,2825,1
1,0,3,1,0,255,360,1,1,3083,1
0,1,3,1,0,123,360,0,1,5900,0
1,0,0,0,0,120,360,1,2,4408,1
0,1,1,1,0,500,360,1,0,18333,0
0,1,1,1,0,30,360,1,0,2963,1
0,1,0,0,0,95,360,1,0,3849,1
0,0,0,1,0,144.2566268,360,1,2,6767,0
0,1,0,1,0,139,360,1,1,5491,1
0,0,3,1,0,185,360,1,1,9167,1
0,1,0,1,0,112,360,1,1,3798,1
0,0,0,0,0,132,360,1,2,3946,1
0,1,0,1,0,55,360,1,1,4915,0
0,1,0,1,0,160,360,1,0,6256,1
0,1,3,0,0,128,360,1,2,4931,0
0,1,2,1,0,78,180,1,0,3286.799988,1
1,0,0,1,0,137,360,0,2,11117,1
0,1,3,1,0,180,300,0,2,7167,0
0,1,2,1,1,144.2566268,360,0,1,6633,0
0,1,0,1,0,115,360,1,2,4567,1
0,1,2,1,0,275,360,1,0,16666,1
0,1,0,1,1,152,360,1,1,6327,1
0,1,0,1,0,120,180,1,0,5740,1
0,1,1,1,0,113,360,1,0,4939,0
0,1,2,1,0,133,360,1,2,5935,1
0,1,2,1,0,158,360,1,1,5614,1
0,0,0,1,0,209,360,0,1,10699,0
1,0,0,1,0,71,360,0,0,3180,0
0,1,1,1,1,376,360,0,1,13649,0
0,0,0,1,0,151,360,1,1,7542,1
0,1,3,1,0,100,360,1,0,4281,1
0,1,1,1,1,86,360,1,2,18917,1
0,1,0,1,0,70,180,1,2,8796,0
0,1,0,0,0,105,360,1,2,4625,1
0,1,0,1,0,436,360,1,2,14583,1
0,1,0,1,0,122,360,1,2,4732,1
0,0,0,1,1,187,360,0,0,10416,0
0,0,3,0,0,148,360,1,2,6700,1
0,0,0,1,1,83,360,1,0,11000,0
0,0,0,1,0,47,360,1,0,3013,1
1,0,1,1,1,150,360,1,2,8624,1
0,1,0,0,0,181,360,0,0,4787,0
0,0,0,1,0,145,360,1,1,4309,1
0,0,0,1,1,141,360,1,1,6822,1
0,1,0,1,0,42,180,1,1,3716,1
0,0,0,1,1,120,180,1,0,10383,0
0,1,2,1,1,144,84,1,1,5746,1
0,1,0,1,0,129,360,1,1,5772,1
0,0,0,1,0,71,360,1,0,2833,1
0,1,0,1,0,119,360,0,1,5754,0
0,1,3,0,0,70,180,0,0,4611,0
1,0,0,1,0,120,360,1,1,7200,1
1,0,2,1,0,120,360,1,2,5833,1
1,0,1,1,0,112,360,1,1,3812,1
0,1,0,0,0,201,360,0,2,5558,0
0,1,1,1,0,121,360,0,2,4369,0
0,1,0,1,0,125,360,1,2,5690,1
0,1,0,0,1,138,360,1,0,4735,0
1,1,0,1,1,105,360,0,1,5500,0
0,0,1,1,0,196,360,1,2,11250,0
0,0,0,0,0,25,120,1,2,3620,1
0,1,2,1,0,187,360,1,0,7583,1
0,1,2,1,0,116,360,1,2,5726,1
0,0,0,1,0,136,360,1,2,4897,1
0,1,0,1,0,136,360,1,0,4750,1
0,1,0,1,0,58,360,1,1,4521,1
0,1,0,1,0,175,360,1,2,9862,1
0,1,2,1,1,150,360,1,1,17539,1
0,0,3,1,0,320,360,1,1,15500,0
0,1,0,1,0,131,360,1,2,5502,1
0,0,0,1,0,81,300,1,2,3500,1
0,0,0,0,0,144.2566268,360,1,0,2000,0
0,1,0,1,0,60,360,0,0,2221,0
0,1,0,1,0,90,180,0,1,4949,1
1,0,0,0,1,125,360,1,0,18165,1
0,1,2,1,0,135,360,1,2,3760,1
0,1,2,1,0,113,360,1,0,4500,1
0,0,0,1,0,136,360,1,0,5316,1
0,0,0,1,0,124,351.73003,0,1,5124,0
0,1,0,0,0,218,360,0,1,6096,0
0,1,2,1,0,200,360,1,0,11179,1
0,1,3,0,0,74,360,1,2,3173,1
1,1,0,1,0,113,360,1,2,6232,1
0,1,3,0,1,130,360,1,1,5703,1
0,0,0,1,0,161,360,1,0,6099,1
0,1,1,1,0,140,360,1,2,4934,1
0,1,0,1,0,165,360,0,0,6567,0
0,1,0,1,0,138,360,1,1,5829,1
0,0,0,1,0,105,360,0,1,6500,0
1,1,2,1,0,113,480,1,2,3663,1
0,1,0,1,0,135,360,1,1,1950,0
1,1,0,1,0,137,360,1,2,4786,1
0,1,3,1,0,128,180,1,0,7740,1
0,1,0,1,0,110,360,1,0,6784,0
1,1,1,1,0,135,360,1,0,4666,1
0,1,1,1,0,144.2566268,360,0,1,4945,0
0,0,0,1,0,144,360,1,2,5762,1
0,1,0,1,0,149,360,0,1,5681,0
0,0,0,1,0,144.2566268,360,1,0,6782,0
0,0,0,1,0,114,360,1,1,4693,0
0,1,0,1,1,184,360,1,2,7978,1
1,1,0,1,0,131.4053438,240,1,2,10047,1
1,0,0,1,0,76,360,0,0,3510,0
0,0,0,1,0,55,360,1,2,2500,1
0,1,2,1,0,112,360,1,0,9703,1
0,1,1,0,0,128,360,1,0,4763,1
0,1,0,1,0,108,360,1,1,5182,1
0,0,0,0,0,55,360,1,1,6506,1
0,1,0,1,0,131,360,1,2,5858,1
1,0,0,1,0,104,360,0,0,4263,0
1,0,0,1,0,46,360,1,1,2378,0
0,1,0,1,0,128,360,1,2,5833,1
0,1,2,1,1,239,360,1,0,21600,0
0,1,2,1,0,125,360,1,1,4913,1
0,1,1,0,0,113,180,0,1,4153,0
0,1,1,0,0,186,360,1,0,6464,1
0,0,0,1,0,308,360,1,1,12917,0
1,0,3,1,0,350,180,1,0,42083,0
0,0,0,0,0,110,360,1,2,5416,1
0,1,2,0,0,99,360,1,2,5333,1
0,0,0,1,0,67,360,1,1,6979,0
0,1,0,1,0,211,360,1,1,7977,1
0,1,2,1,0,205,360,1,2,6540,1
1,1,0,1,0,100,360,1,2,6816,1
0,0,0,1,0,120,360,1,1,5063,1
0,1,3,0,0,81,180,1,1,3522,0
0,1,0,1,0,110,360,1,2,3775,1
0,1,1,0,0,161,360,0,2,6715,1
0,1,1,1,0,152,300,0,2,8300,0
0,1,0,0,0,123,360,0,2,4874,0
0,1,1,0,0,90,360,1,2,5100,1
1,0,1,0,0,81,360,1,1,4606,0
0,0,0,1,0,296,360,1,2,10173,1
0,1,2,1,0,134,360,1,0,4713,1
0,1,0,1,0,259,360,1,2,10916,1
0,1,2,0,1,97,360,1,2,3750,1
1,1,1,1,0,496,360,1,2,12000,1
0,1,0,1,0,104,360,0,0,5230,0
0,0,1,1,1,106,360,1,1,4692,0
0,1,0,1,0,110,360,1,1,4801,1
0,0,0,1,0,172,360,1,1,7977,1
0,1,2,1,0,225,360,1,0,12543,1
0,0,0,1,0,75,360,1,0,2435,0
0,0,0,0,0,80,36,1,2,3358,0
1,0,1,1,0,95,360,1,2,3652,1
0,1,0,1,1,25,120,1,2,3459,1
0,1,0,1,0,120,360,1,0,6296,1
0,1,0,1,0,122,360,1,2,5052,1
0,1,2,0,0,133,180,1,0,7551,1
0,1,0,1,0,95,300,1,0,6046,1
0,1,2,0,0,185,360,1,1,7667,1
0,0,0,0,1,104,360,1,1,4750,1
0,1,3,0,0,113,360,1,1,3095,1
0,1,0,1,0,180,360,1,1,9734,1
0,1,2,1,0,230,300,1,2,8450,1
0,1,0,0,0,116,360,0,2,4511,0
0,1,0,0,1,165,180,0,1,6058,0
1,0,0,1,0,225,360,1,1,11666,0
0,1,0,1,0,234,360,1,2,10833,1
0,0,0,1,0,94,360,1,2,4750,1
0,1,3,1,0,94,360,1,0,5250,0
1,0,0,1,0,112,360,1,2,4230,0
0,0,0,1,0,155,60,1,0,8666,1
0,1,0,1,0,187,360,1,2,11333,1
0,1,0,1,0,144.2566268,360,1,0,4342,1
0,1,1,1,0,116,360,1,2,3750,1
0,1,0,1,0,180,360,1,1,8334,1
0,1,1,1,0,115,360,1,2,4592,1
0,1,0,0,1,96,371.0042492,1,0,4695,1
0,1,0,0,0,93,360,0,0,4734,0
0,0,0,1,0,176,360,1,0,8500,0
0,1,1,1,0,175,360,1,2,6325,1
0,1,1,1,1,240,360,1,0,7787,1
0,1,3,1,0,160,360,0,0,6144,1
0,0,0,0,0,111,360,1,2,5332,1
0,1,0,1,0,175,300,1,1,15666,1
0,1,1,0,0,138,360,1,1,9352,0
1,1,1,1,0,105,84,1,2,4239,1
0,1,0,1,0,114,360,1,2,5167,1
0,1,1,1,0,349,360,1,2,23809,0
0,1,0,0,0,98,360,1,2,2904,1
0,0,0,1,0,89,360,1,1,6211,1
0,1,3,1,0,110,360,1,0,5666,1
0,1,0,1,0,80,360,1,0,4403,1
0,0,0,0,1,132,360,1,2,5800,1
0,1,2,1,0,246,360,1,2,8333,1
0,1,0,0,0,107,360,1,1,4300,1
0,1,0,1,0,73,180,1,2,4600,1
0,1,0,1,0,56,180,1,2,6416,1
0,1,0,1,0,100,345.7841814,0,0,3158,0
0,1,1,1,0,160,360,1,1,6000,1
0,1,0,1,1,66,360,1,0,3000,1
0,1,0,1,1,188,360,1,0,5492,1
0,1,0,1,0,111,12,1,0,7482,1
0,0,0,1,0,480,360,1,1,20233,0
0,0,0,1,0,187,360,1,1,9508,1
0,1,2,0,0,108,360,1,2,3917,1
1,1,0,0,0,178,360,0,2,5386,0
1,0,0,0,0,80,304.1671965,0,0,2720,0
0,0,0,1,0,168,360,1,0,5417,1
0,1,0,1,0,175,315.9914502,1,2,8588,1
0,1,1,1,0,260,360,1,2,33846,0
0,1,2,1,0,192,360,1,0,5780,1
0,1,1,1,0,250,360,1,2,8069,1
0,1,1,1,0,85,360,1,0,3612,1
0,1,1,1,0,128,360,1,1,6091,0
1,0,1,1,1,144.2566268,360,1,2,7451,1
0,1,0,1,0,142,180,1,1,7159,1
0,1,0,1,0,182,296.3242857,1,1,6873,1
1,1,0,1,0,108,360,1,2,3625,1
0,1,2,1,1,380,300,1,1,17196,1
0,1,2,1,0,90,360,1,2,3900,1
0,0,0,1,0,144.2566268,360,1,0,5849,1
0,0,0,1,0,70,360,1,0,3333,1
1,1,1,1,0,140,180,1,2,7453,1
1,0,0,1,0,113,480,1,1,4328,1
0,0,0,1,1,128,360,1,0,7167,1
1,0,0,1,0,115,360,1,2,4547,1
1,1,1,1,1,600,360,1,2,19484,1
0,1,0,0,0,104,360,0,0,7660,0
0,1,2,1,0,101,360,1,1,3664,1
0,1,0,1,1,70,306.3363536,1,2,9993,1
0,1,2,1,0,130,360,1,0,5391,1
0,1,0,1,0,155,360,1,1,4718,1
0,1,3,1,0,700,300,1,0,51763,1
1,0,0,0,0,95,360,1,1,3400,0
0,0,0,1,0,96,360,1,0,3583,0
0,0,0,1,0,244,360,1,0,9166,0
0,1,0,0,0,110,360,1,1,4286,1
0,0,0,1,0,90,360,1,0,35673,0
0,1,2,1,0,120,360,1,2,3717,1
0,1,0,1,0,304,360,1,1,16783,0
0,0,2,1,0,162,360,1,1,10180,1
0,1,2,1,1,176,360,1,1,7100,1
0,1,0,0,0,66,360,1,1,3453,0
0,1,0,0,0,124,300,1,2,5297,1
0,0,0,0,0,109,360,1,1,5568,1
0,1,1,1,0,110,353.0365298,0,0,8917,0
0,1,0,0,0,129.2886164,180,1,0,6200,0
1,0,0,0,0,154,360,1,1,4350,1
0,1,0,1,0,100,360,1,0,3539,1
1,0,0,1,0,259,360,1,0,10408,1
0,0,0,0,0,115,360,0,1,6045,0
0,1,0,1,0,90,360,1,0,3677,1
